Код диагноза,Название диагноза,Код родителя
Z36,Дородовое обследование с целью выявления патологии у плода [антенатальный скрининг],Z30-Z39
Z36.0,Антенатальный скрининг для выявления хромосомных аномалий,Z36
Z36.1,Антенатальный скрининг для выявления повышенного уровня альфа-фетопротеина в амниотической жидкости,Z36
Z36.2,"Другой вид антенатального скрининга, основанный на амниоцентезе",Z36
Z36.3,Антенатальный скрининг с помощью ультразвука или других физических методов для выявления аномалий развития,Z36
Z36.4,Антенатальный скрининг с помощью ультразвука или других физических методов для выявления задержки роста плода,Z36
Z36.5,Антенатальный скрининг для выявления изоиммунизации,Z36
Z36.8,Другой вид антенатального скрининга,Z36
Z36.9,Антенатальный скрининг неуточненный,Z36
Z37,Исход родов,Z30-Z39
Z37.0,Один живорожденный,Z37
Z37.1,Один мертворожденный,Z37
Z37.2,"Двойня, оба живорожденные",Z37
Z37.3,"Двойня, один живорожденный, другой мертворожденный",Z37
Z37.4,"Двойня, оба мертворожденные",Z37
Z37.5,"Другие многоплодные роды, все живорожденные",Z37
Z37.6,"Другие многоплодные роды, есть живорожденные и мертворожденные",Z37
Z37.7,"Другие многоплодные роды, все мертворожденные",Z37
Z37.9,Неуточненный исход родов,Z37
Z38,"Живорожденные младенцы, согласно месту рождения",Z30-Z39
Z38.0,"Один ребенок, рожденный в стационаре",Z38
Z38.1,"Один ребенок, рожденный вне стационара",Z38
Z38.2,"Один ребенок, рожденный в неуточненном месте",Z38
Z38.3,"Двойня, рожденная в стационаре",Z38
Z38.4,"Двойня, рожденная вне стационара",Z38
Z38.5,"Двойня, рожденная в неуточненном месте",Z38
Z38.6,"Другие новорожденные из многоплодных родов, родившиеся в стационаре",Z38
Z38.7,"Другие новорожденные из многоплодных родов, родившиеся вне стационара",Z38
Z38.8,"Другие новорожденные из многоплодных родов, родившиеся в неуточненном месте",Z38
Z39,Послеродовая помощь и обследование,Z30-Z39
Z39.0,Помощь и обследование непосредственно после родов,Z39
Z39.1,Помощь и обследование кормящей матери,Z39
Z39.2,Рутинное послеродовое наблюдение,Z39
Z40-Z54,ОБРАЩЕНИЯ В УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ В СВЯЗИ С НЕОБХОДИМОСТЬЮ ПРОВЕДЕНИЯ СПЕЦИФИЧЕСКИХ ПРОЦЕДУР И ПОЛУЧЕНИЯ МЕДИЦИНСКОЙ ПОМОЩИ (Z40-Z54),Z00-Z99
Z40,Профилактическое хирургическое вмешательство,Z40-Z54
Z40.0,"Профилактическое хирургическое вмешательство при наличии факторов риска, связанных со злокачественным новообразованием",Z40
Z40.8,Другой вид профилактического хирургического вмешательства,Z40
Z40.9,Профилактическое хирургическое вмешательство неуточненное,Z40
Z41,"Процедуры, проводимые не с лечебными целями",Z40-Z54
Z41.0,Трансплантация волосистого участка кожи,Z41
Z41.1,Другие виды восстановительного хирургического вмешательства с целью устранения недостатков внешности,Z41
Z41.2,Принятое или ритуальное обрезание,Z41
Z41.3,Прокалывание ушей,Z41
Z41.8,"Другие процедуры, не имеющие лечебных целей",Z41
Z41.9,"Процедура, не имеющая лечебных целей, неуточненная",Z41
Z42,Последующая помощь с применением восстановительного хирургического вмешательства,Z40-Z54
Z42.0,Последующая помощь с применением восстановительной хирургии в области головы и шеи,Z42
Z42.1,Последующая помощь с применением восстановительной хирургии грудных желез,Z42
Z42.2,Последующая помощь с применением восстановительной хирургии других частей туловища,Z42
Z42.3,Последующая помощь с применением восстановительной хирургии верхних конечностей,Z42
Z42.4,Последующая помощь с применением восстановительной хирургии нижних конечностей,Z42
Z42.8,Последующая помощь с применением восстановительной хирургии других частей тела,Z42
Z42.9,Последующая помощь с применением восстановительной хирургии неуточненная,Z42
Z43,Уход за искусственными отверстиями,Z40-Z54
Z43.0,Уход за трахеостомой,Z43
Z43.1,Уход за гастростомой,Z43
Z43.2,Уход за илеостомой,Z43
Z43.3,Уход за колостомой,Z43
Z43.4,Уход за другим искусственным отверстием пищеварительного тракта,Z43
Z43.5,Уход за цистостомой,Z43
Z43.6,Уход за другим искусственным отверстием мочевого тракта,Z43
Z43.7,Уход за искусственным влагалищем,Z43
Z43.8,Уход за другими уточненными искусственными отверстиями,Z43
Z43.9,Уход за неуточненным искусственным отверстием ,Z43
Z44,Примерка и подгонка наружного протезного устройства,Z40-Z54
Z44.0,Примерка и подгонка искусственной руки (всей) (части),Z44
Z44.1,Примерка и подгонка искусственной ноги (всей) (части),Z44
Z44.2,Примерка и подгонка искусственного глаза,Z44
Z44.3,Примерка и подгонка внешнего протеза молочной железы,Z44
Z44.8,Примерка и подгонка других внешних протезных устройств,Z44
Z44.9,Примерка и подгонка неуточненного внешнего протезного устройства ,Z44
Z45,Установка и регулировка имплантированного устройства,Z40-Z54
Z45.0,Установка и регулировка искусственного водителя ритма сердца,Z45
Z45.1,Установка и регулировка капельницы,Z45
Z45.2,Установка и регулировка средства контроля состояния сосудов,Z45
Z45.3,Установка и регулировка имплантированного слухового устройства,Z45
Z45.8,Установка и регулировка других имплантированных устройств,Z45
Z45.9,Установка и регулировка неуточненного имплантированного приспособления,Z45
Z46,Примерка и подгонка других устройств,Z40-Z54
Z46.0,Примерка и подгонка очков и контактных линз,Z46
Z46.1,Примерка и подгонка слухового аппарата,Z46
Z46.2,"Примерка и подгонка других устройств, имеющих отношение к нервной системе и органам чувств",Z46
Z46.3,Примерка и подгонка зубного протезного устройства,Z46
Z46.4,Примерка и подгонка ортодонтического устройства,Z46
Z46.5,Примерка и подгонка илеостомы и других кишечных приспособлений,Z46
Z46.6,Примерка и подгонка приспособления для мочевыделения,Z46
Z46.7,Примерка и подгонка ортопедического устройства,Z46
Z46.8,Примерка и подгонка других уточненных устройств,Z46
Z46.9,Примерка и подгонка другого неуточненного устройства ,Z46
Z47,Другие виды последующей ортопедической помощи,Z40-Z54
Z47.0,Удаление пластинки после сращения перелома и другого внутреннего фиксирующего устройства,Z47
Z47.8,Другой уточненный вид последующей ортопедической помощи,Z47
Z47.9,Последующая ортопедическая помощь неуточненная,Z47
Z48,Другие виды последующей хирургической помощи,Z40-Z54
Z48.0,Уход за хирургическими повязками и швами,Z48
Z48.8,Другие уточненные виды последующей хирургической помощи,Z48
Z48.9,Последующая хирургическая помощь неуточненная,Z48
Z49,"Помощь, включающая диализ",Z40-Z54
Z49.0,Подготовительные процедуры для проведения диализа,Z49
Z49.1,Экстракорпоральный диализ,Z49
Z49.2,Другой вид диализа,Z49
Z50,"Помощь, включающая использование реабилитационных процедур",Z40-Z54
Z50.0,Реабилитация при болезни сердца,Z50
Z50.1,Другой вид физиотерапии,Z50
Z50.2,"Реабилитация лиц, страдающих алкоголизмом",Z50
Z50.3,"Реабилитация лиц, страдающих наркоманией",Z50
Z50.4,"Психотерапия, не классифицированная в других рубриках",Z50
Z50.5,Речевая терапия,Z50
Z50.6,Неоперативное лечение косоглазия,Z50
Z50.7,"Трудовая терапия и профессиональная реабилитация, не классифицированная в других рубриках",Z50
Z50.8,"Лечение, включающее другие виды реабилитационных процедур",Z50
Z50.9,"Лечение, включающее реабилитационную процедуру неуточненную",Z50
Z51,Другие виды медицинской помощи,Z40-Z54
Z51.0,Курс радиотерапии (поддерживающий),Z51
Z51.1,Химиотерапия по поводу новообразования,Z51
Z51.2,Другие виды химиотерапии,Z51
Z51.3,Переливание крови без уточненного диагноза,Z51
Z51.4,"Подготовительные процедуры для последующего лечения, не классифицированные в других рубриках",Z51
Z51.5,Паллиативная помощь,Z51
Z51.6,Десенсибилизация к аллергенам,Z51
Z51.8,Другие уточненные виды медицинской помощи,Z51
Z51.9,Медицинская помощь неуточненная,Z51
Z52,Доноры органов и тканей,Z40-Z54
Z52.0,Донор крови,Z52
Z52.1,Донор кожи,Z52
Z52.2,Донор кости,Z52
Z52.3,Донор костного мозга,Z52
Z52.4,Донор почки,Z52
Z52.5,Донор роговицы,Z52
Z52.6,Донор печени,Z52
Z52.7,Донор сердца,Z52
Z52.8,Донор другого уточненного органа или ткани,Z52
Z52.9,Донор неуточненного органа или ткани,Z52
Z53,Обращение в учреждения здравоохранения в связи с невыполненными специфическими процедурами,Z40-Z54
Z53.0,Процедура не выполнена из-за наличия противопоказаний,Z53
Z53.1,Процедура не выполнена из-за отказа больного по убеждениям или из-за группового давления,Z53
Z53.2,Процедура не выполнена из-за отказа больного по другим и неуточненным причинам,Z53
Z53.8,Процедура не выполнена по другим причинам,Z53
Z53.9,Процедура не выполнена по неуточненной причине,Z53
Z54,Состояние выздоровления,Z40-Z54
Z54.0,Состояние выздоровления после хирургического вмешательства,Z54
Z54.1,Состояние выздоровления после радиотерапии,Z54
Z54.2,Состояние выздоровления после химиотерапии,Z54
Z54.3,Состояние выздоровления после психотерапии,Z54
Z54.4,Состояние выздоровления после лечения перелома,Z54
Z54.7,Состояние выздоровления после комбинированного лечения,Z54
Z54.8,Состояние выздоровления после другого лечения,Z54
Z54.9,Состояние выздоровления после неуточненного вида лечения,Z54
Z55-Z65,"ПОТЕНЦИАЛЬНАЯ ОПАСНОСТЬ ДЛЯ ЗДОРОВЬЯ, СВЯЗАННАЯ С СОЦИАЛЬНО-ЭКОНОМИЧЕСКИМИ И ПСИХОСОЦИАЛЬНЫМИ ОБСТОЯТЕЛЬСТВАМИ (Z55-Z65)",Z00-Z99
Z55,"Проблемы, связанные с обучением и грамотностью",Z55-Z65
Z55.0,Неграмотность или низкий уровень грамотности,Z55
Z55.1,Отсутствие способности к обучению,Z55
Z55.2,Провал на экзаменах,Z55
Z55.3,Отставание в учебе,Z55
Z55.4,"Плохая адаптация к учебному процессу, конфликты с учителями и соучениками",Z55
Z55.8,"Другие проблемы, связанные с образованием и грамотностью",Z55
Z55.9,"Проблема, связанная с образованием и грамотностью, неуточненная",Z55
Z56,"Проблемы, связанные с работой и безработицей",Z55-Z65
Z56.0,Отсутствие работы неуточненное,Z56
Z56.1,Смена работы,Z56
Z56.2,Угроза потерять работу,Z56
Z56.3,Напряженное рабочее расписание,Z56
Z56.4,Конфликт с начальником и сослуживцами,Z56
Z56.5,Неподходящая работа,Z56
Z56.6,Другое физическое и психическое напряжение в работе,Z56
Z56.7,"Другие и неуточненные проблемы, связанные с работой",Z56
Z57,Воздействие производственных факторов риска,Z55-Z65
Z57.0,Неблагоприятное воздействие производственного шума,Z57
Z57.1,Неблагоприятное воздействие производственной радиации,Z57
Z57.2,Неблагоприятное воздействие производственной пыли,Z57
Z57.3,Неблагоприятное воздействие других производственных загрязнителей воздуха,Z57
Z57.4,"Неблагоприятное воздействие токсичных веществ, используемых в сельском хозяйстве",Z57
Z57.5,Неблагоприятное воздействие токсичных веществ в других производствах,Z57
Z57.6,Неблагоприятное воздействие производственных экстремальных температур,Z57
Z57.7,Неблагоприятное воздействие производственной вибрации,Z57
Z57.8,Неблагоприятное воздействие других факторов риска,Z57
Z57.9,Неблагоприятное воздействие неуточненных факторов риска,Z57
Z58,"Проблемы, связанные с физическими факторами окружающей среды",Z55-Z65
Z58.0,Воздействие шума,Z58
Z58.1,Воздействие загрязнения воздуха,Z58
Z58.2,Воздействие загрязнения воды,Z58
Z58.3,Воздействие загрязнения почвы,Z58
Z58.4,Воздействие радиационного загрязнения,Z58
Z58.5,Воздействие другого загрязнения,Z58
Z58.6,Неадекватное снабжение питьевой водой,Z58
Z58.7,Загрязнение табачным дымом,Z58
Z58.8,"Другие проблемы, связанные с физическими факторами окружающей среды",Z58
Z58.9,"Проблемы, связанные с физическими факторами окружающей среды, неуточненные",Z58
Z59,"Проблемы, связанные с обстоятельствами жилищного и экономического характера",Z55-Z65
Z59.0,Отсутствие жилища (бездомность),Z59
Z59.1,Неудовлетворительные жилищные условия,Z59
Z59.2,"Конфликты с соседями, постояльцами, хозяевами",Z59
Z59.3,"Проблемы, связанные с нахождением в учреждении постоянного проживания",Z59
Z59.4,Отсутствие адекватной пищи,Z59
Z59.5,Крайняя нищета,Z59
Z59.6,Низкий уровень дохода,Z59
Z59.7,Недостаточность социального страхования и материальной поддержки,Z59
Z59.8,"Другие проблемы, связанные с экономическими и жилищными условиями",Z59
Z59.9,"Проблема, связанная с экономическими и жилищными условиями, неуточненная",Z59
Z60,"Проблемы, связанные с факторами социального окружения",Z55-Z65
Z60.0,"Проблемы, связанные с адаптацией к изменению образа жизни",Z60
Z60.1,Нетипичная ситуация с родителями,Z60
Z60.2,Проживание в одиночестве,Z60
Z60.3,"Трудности, связанные с принятием другой культуры",Z60
Z60.4,Социальная изоляция и остракизм,Z60
Z60.5,Жертва ощущаемой дискриминации и гонения,Z60
Z60.8,"Другие проблемы, связанные с факторами социального окружения",Z60
Z60.9,"Проблема, связанная с факторами социального окружения, неуточненная",Z60
Z61,"Проблемы, связанные с неблагоприятными жизненными событиями в детстве",Z55-Z65
Z61.0,Потеря в детстве любимых родственников,Z61
Z61.1,Отлучение ребенка от дома,Z61
Z61.2,Изменение семейных взаимоотношений родственников в детстве,Z61
Z61.3,"События, приводящие к снижению самооценки в детстве",Z61
Z61.4,"Проблемы, связанные с возможным сексуальным изнасилованием ребенка лицом, принадлежащим к группе первичной поддержки",Z61
Z61.5,"Проблемы, связанные с возможным сексуальным насилием в отношении ребенка посторонним лицом",Z61
Z61.6,"Проблемы, связанные с возможным физическим насилием по отношению к ребенку",Z61
Z61.7,"Личные потрясения, перенесенные в детстве",Z61
Z61.8,Другие неблагоприятные жизненные события в детстве,Z61
Z61.9,Неблагоприятное жизненное событие в детстве неуточненное,Z61
Z62,"Другие проблемы, связанные с воспитанием ребенка",Z55-Z65
Z62.0,Неадекватность заботы и контроля со стороны родителей,Z62
Z62.1,Излишняя опека со стороны родителей,Z62
Z62.2,Воспитание в закрытом учреждении,Z62
Z62.3,Враждебное отношение и несправедливые претензии к ребенку,Z62
Z62.4,Эмоциональная заброшенность ребенка,Z62
Z62.5,"Другие проблемы, связанные с недостатками в воспитании ребенка",Z62
Z62.6,Неприемлемое давление со стороны родителей и другие отрицательные факторы воспитания ребенка,Z62
Z62.8,"Другие уточненные проблемы, связанные с воспитанием ребенка",Z62
Z62.9,"Проблема, связанная с воспитанием ребенка, неуточненная",Z62
Z63,"Другие проблемы, связанные с близкими людьми, включая семейные обстоятельства",Z55-Z65
Z63.0,"Проблемы, связанные с взаимоотношениями супругов или партнеров",Z63
Z63.1,Проблемы взаимоотношений с родителями или родственниками жены или мужа,Z63
Z63.2,Недостаточная семейная поддержка,Z63
Z63.3,Отсутствие члена семьи,Z63
Z63.4,Исчезновение или смерть члена семьи,Z63
Z63.5,Распад семьи в результате разделения или развода,Z63
Z63.6,"Зависимый член семьи, нуждающийся в уходе в домашних условиях",Z63
Z63.7,"Другие стрессовые жизненные события, влияющие на семью и экономические условия",Z63
Z63.8,"Другие уточненные проблемы, связанные с группой первичной поддержки",Z63
Z63.9,"Проблемы, связанные с группой первичной поддержки, неуточненные",Z63
Z64,"Проблемы, связанные с определенными психосоциальными обстоятельствами",Z55-Z65
Z64.0,"Проблемы, связанные с нежелательной беременностью",Z64
Z64.1,"Проблемы, связанные с многодетностью",Z64
Z64.2,"Поиск и использование физических, пищевых и химических веществ, известных как вредные и опасные",Z64
Z64.3,"Поиск и принятие действий поведенческого и психологического характера, известных как вредные и опасные",Z64
Z64.4,Конфликт с советником,Z64
Z65,"Проблемы, связанные с другими психосоциальными обстоятельствами",Z55-Z65
Z65.0,Обвинение в гражданском или уголовном преступлении без заключения в тюрьму,Z65
Z65.1,Тюремное заключение и другое вынужденное лишение свободы,Z65
Z65.2,"Проблемы, связанные с освобождением из тюрьмы",Z65
Z65.3,"Проблемы, связанные с другими юридическими обстоятельствами",Z65
Z65.4,Жертва преступления и терроризма,Z65
Z65.5,"Жертва стихийного бедствия, военных и других враждебных действий",Z65
Z65.8,"Другие уточненные проблемы, связанные с обстоятельствами психологического характера",Z65
Z65.9,"Проблема, связанная с неуточненными обстоятельствами психологического характера",Z65
Z70-Z76,ОБРАЩЕНИЯ В УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ В СВЯЗИ С ДРУГИМИ ОБСТОЯТЕЛЬСТВАМИ (Z70-Z76),Z00-Z99
Z70,"Консультации, касающиеся сексуальных отношений, поведения и ориентации",Z70-Z76
Z70.0,"Консультирование, касающееся отношения к сексуальным вопросам",Z70
Z70.1,"Консультирование, касающееся сексуального поведения или сексуальной ориентации",Z70
Z70.2,"Консультирование, касающееся сексуального поведения и ориентации третьей стороны",Z70
Z70.3,"Консультирование, касающееся сложных проблем, связанных с сексуальными отношениями, поведением и ориентацией",Z70
Z70.8,"Другая консультация, касающаяся секса",Z70
Z70.9,Консультация по сексуальным вопросам неуточненная,Z70
Z71,"Обращения в учреждения здравоохранения для получения других консультаций и медицинских советов, не классифицированные в других рубриках",Z70-Z76
Z71.0,Обращение за консультацией по поручению другого лица,Z71
Z71.1,"Жалобы, вызванные страхом болезни, при отсутствии диагностированной болезни",Z71
Z71.2,Обращение за разъяснениями результатов исследования,Z71
Z71.3,Консультирование по вопросам питания,Z71
Z71.4,Консультирование и наблюдение по поводу алкоголизма,Z71
Z71.5,Консультирование и наблюдение по поводу наркомании,Z71
Z71.6,Консультирование и наблюдение по поводу курения,Z71
Z71.7,"Консультирование по вопросам, связанным с вирусом иммунодефицита человека [ВИЧ]",Z71
Z71.8,Другие уточненные консультирования,Z71
Z71.9,Консультирование неуточненное,Z71
Z72,"Проблемы, связанные с образом жизни",Z70-Z76
Z72.0,Употребление табака,Z72
Z72.1,Употребление алкоголя,Z72
Z72.2,Использование наркотиков,Z72
Z72.3,Недостаток физической активности,Z72
Z72.4,Неприемлемый пищевой рацион и вредные привычки в приеме пищи,Z72
Z72.5,Сексуальное поведение с высокой степенью риска,Z72
Z72.6,Склонность к азартным играм и пари,Z72
Z72.8,"Другие проблемы, связанные с образом жизни",Z72
Z72.9,"Проблема, связанная с образом жизни, неуточненная",Z72
Z73,"Проблемы, связанные с трудностями поддержания нормального образа жизни",Z70-Z76
Z73.0,Переутомление,Z73
Z73.1,Акцентуированные личностные черты,Z73
Z73.2,Недостаточность отдыха и расслабления,Z73
Z73.3,"Стрессовое состояние, не классифицированное в других рубриках",Z73
Z73.4,"Неадекватные социальные навыки, не классифицированные в других рубриках",Z73
Z73.5,"Конфликт, связанный с социальной ролью, не классифицированный в других рубриках",Z73
Z73.6,"Ограничения деятельности, вызванные снижением или утратой трудоспособности",Z73
Z73.8,"Другие проблемы, связанные с трудностями в поддержании жизненного уклада",Z73
Z73.9,"Проблема, связанная с трудностью в поддержании жизненного уклада, неуточненная",Z73
Z74,"Проблемы, связанные с зависимостью от лица, обеспечивающего помощь и уход",Z70-Z76
Z74.0,Ограничение способности передвигаться,Z74
Z74.1,Потребность в помощи при самообслуживании,Z74
Z74.2,"Потребность в помощи по ведению домашнего хозяйства при отсутствии члена семьи, способного оказать помощь",Z74
Z74.3,Потребность в постоянном наблюдении,Z74
Z74.8,"Другие проблемы, связанные с зависимостью от лица, обеспечивающего помощь и уход",Z74
Z74.9,"Проблема, связанная с зависимостью от лица, обеспечивающего помощь и уход, неуточненная",Z74
Z75,"Проблемы, связанные с медицинским обеспечением и другой медицинской помощью",Z70-Z76
Z75.0,Отсутствие медицинской помощи на дому,Z75
Z75.1,"Лицо, ожидающее госпитализации в соответствующее учреждение для получения помощи",Z75
Z75.2,Другой период ожидания обследования и назначения лечения,Z75
Z75.3,Отсутствие или недоступность служб медицинской помощи,Z75
Z75.4,"Отсутствие или недоступность других учреждений, предоставляющих помощь",Z75
Z75.5,Предоставление помощи во время отдыха,Z75
Z75.8,"Другие проблемы, связанные с медицинской помощью и другими видами ухода за больным",Z75
Z75.9,"Неуточненная проблема, связанная с медицинской помощью и другими видами ухода за больным ",Z75
Z76,Обращения в учреждения здравоохранения в связи с другими обстоятельствами,Z70-Z76
Z76.0,Выдача повторного рецепта,Z76
Z76.1,Наблюдение за здоровьем подкидыша и уход за ним,Z76
Z76.2,Наблюдение за другим здоровым ребенком грудного и раннего возраста и уход за ним,Z76
Z76.3,"Здоровый человек, сопровождающий больного",Z76
Z76.4,"Другие лица, нуждающиеся в помощи учреждений здравоохранения",Z76
Z76.5,Симуляция болезни [сознательная симуляция],Z76
Z76.8,"Лица, обращающиеся в службы здравоохранения в других уточненных обстоятельствах",Z76
Z76.9,"Лицо, обращающееся в службы здравоохранения в неуточненных обстоятельствах",Z76
Z80-Z99,"ПОТЕНЦИАЛЬНАЯ ОПАСНОСТЬ ДЛЯ ЗДОРОВЬЯ, СВЯЗАННАЯ С ЛИЧНЫМ И СЕМЕЙНЫМ АНАМНЕЗОМ И ОПРЕДЕЛЕННЫМИ СОСТОЯНИЯМИ, ВЛИЯЮЩИМИ НА ЗДОРОВЬЕ (Z80-Z99)",Z00-Z99
Z80,В семейном анамнезе злокачественное новообразование,Z80-Z99
Z80.0,В семейном анамнезе злокачественное новообразование желудочно-кишечного тракта,Z80
Z80.1,"В семейном анамнезе злокачественное новообразование трахеи, бронхов и легкого",Z80
Z80.2,В семейном анамнезе злокачественное новообразование органов дыхания и грудной клетки,Z80
Z80.3,В семейном анамнезе злокачественное новообразование молочной железы,Z80
Z80.4,В семейном анамнезе злокачественное новообразование половых органов,Z80
Z80.5,В семейном анамнезе злокачественное новообразование мочевых органов,Z80
Z80.6,В семейном анамнезе лейкоз,Z80
Z80.7,"В семейном анамнезе другие злокачественные новообразования лимфоидной, кроветворной и родственных им тканей",Z80
Z80.8,В семейном анамнезе злокачественные новообразования других органов или систем,Z80
Z80.9,В семейном анамнезе злокачественное новообразование неуточненное,Z80
Z81,В семейном анамнезе психические расстройства и расстройства поведения,Z80-Z99
Z81.0,В семейном анамнезе умственная отсталость,Z81
Z81.1,В семейном анамнезе алкогольная зависимость,Z81
Z81.2,В семейном анамнезе курение,Z81
Z81.3,В семейном анамнезе злоупотребление психоактивными лекарственными средствами,Z81
Z81.4,"В семейном анамнезе злоупотребление другими средствами, вызывающими зависимость",Z81
Z81.8,В семейном анамнезе другие психические расстройства и расстройства поведения,Z81
Z82,"В семейном анамнезе некоторые болезни, снижающие трудоспособность, и хронические болезни, ведущие к инвалидности",Z80-Z99
Z82.0,В семейном анамнезе эпилепсия и другие болезни нервной системы,Z82
Z82.1,В семейном анамнезе слепота и потеря зрения,Z82
Z82.2,В семейном анамнезе глухота и потеря слуха,Z82
Z82.3,В семейном анамнезе инсульт,Z82
Z82.4,В семейном анамнезе ишемическая болезнь сердца и другие болезни сердечно-сосудистой системы,Z82
Z82.5,В семейном анамнезе астма и другие хронические болезни нижних дыхательных путей,Z82
Z82.6,В семейном анамнезе артрит и другие болезни костно-мышечной системы и соединительной ткани,Z82
Z82.7,"В семейном анамнезе врожденные аномалии, деформации и хромосомные нарушения",Z82
Z82.8,"В семейном анамнезе другие состояния, снижающие трудоспособность, и хронические болезни, ведущие к инвалидности, не классифицированные в других рубриках",Z82
Z83,В семейном анамнезе другие специфические нарушения,Z80-Z99
Z83.0,"В семейном анамнезе болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",Z83
Z83.1,В семейном анамнезе другие инфекционные и паразитарные болезни,Z83
Z83.2,"В семейном анамнезе болезни крови и кроветворных органов и некоторые нарушения, вовлекающие иммунный механизм",Z83
Z83.3,В семейном анамнезе сахарный диабет,Z83
Z83.4,В семейном анамнезе другие болезни эндокринной системы и болезни обмена веществ,Z83
Z83.5,В семейном анамнезе болезни глаза и уха,Z83
Z83.6,В семейном анамнезе болезни дыхательной системы,Z83
Z83.7,В семейном анамнезе болезни системы пищеварения,Z83
Z84,В семейном анамнезе другие патологические состояния,Z80-Z99
Z84.0,В семейном анамнезе болезни кожи и подкожной клетчатки,Z84
Z84.1,В семейном анамнезе нарушения почек и мочеточника,Z84
Z84.2,В семейном анамнезе другие болезни мочеполовой системы,Z84
Z84.3,В семейном анамнезе кровное родство,Z84
Z84.8,В семейном анамнезе другие уточненные состояния,Z84
Z85,В личном анамнезе злокачественное новообразование,Z80-Z99
Z85.0,В личном анамнезе злокачественное новообразование желудочно-кишечного тракта,Z85
Z85.1,"В личном анамнезе злокачественное новообразование трахеи, бронхов и легкого",Z85
Z85.2,В личном анамнезе злокачественное новообразование других органов дыхания и грудной клетки,Z85
Z85.3,В личном анамнезе злокачественное новообразование молочной железы,Z85
Z85.4,В личном анамнезе злокачественное новообразование половых органов,Z85
Z85.5,В личном анамнезе злокачественное новообразование мочевых органов,Z85
Z85.6,В личном анамнезе лейкоз,Z85
Z85.7,"В личном анамнезе злокачественные новообразования лимфоидной, кроветворной и родственных им тканей",Z85
Z85.8,В личном анамнезе злокачественные новообразования других органов и систем,Z85
Z85.9,В личном анамнезе злокачественное новообразование неуточненное,Z85
Z86,В личном анамнезе некоторые другие болезни,Z80-Z99
Z86.0,В личном анамнезе другие новообразования,Z86
Z86.1,В личном анамнезе инфекционные и паразитарные болезни,Z86
Z86.2,"В личном анамнезе болезни крови и кроветворных органов и некоторые нарушения, вовлекающие иммунный механизм",Z86
Z86.3,"В личном анамнезе болезни эндокринной системы, нарушения питания и обмена веществ",Z86
Z86.4,В личном анамнезе злоупотребление психоактивными веществами,Z86
Z86.5,В личном анамнезе другие психические и поведенческие расстройства,Z86
Z86.6,В личном анамнезе болезни нервной системы и органов чувств,Z86
Z86.7,В личном анамнезе болезни системы кровообращения,Z86
Z87,В личном анамнезе другие болезни и патологические состояния,Z80-Z99
Z87.0,В личном анамнезе болезни органов дыхания,Z87
Z87.1,В личном анамнезе болезни органов пищеварения,Z87
Z87.2,В личном анамнезе болезни кожи и подкожной клетчатки,Z87
Z87.3,В личном анамнезе болезни костно-мышечной системы и соединительной ткани,Z87
Z87.4,В личном анамнезе болезни мочеполовой системы,Z87
Z87.5,"В личном анамнезе осложнения беременности, родов и послеродового периода",Z87
Z87.6,"В личном анамнезе отдельные состояния, возникающие в перинатальном периоде",Z87
Z87.7,"В личном анамнезе врожденные аномалии, деформации и хромосомные нарушения",Z87
Z87.8,В личном анамнезе другие уточненные состояния,Z87
Z88,"В личном анамнезе аллергия к лекарственным средствам, медикаментам и биологическим веществам",Z80-Z99
Z88.0,В личном анамнезе аллергия к пенициллину,Z88
Z88.1,В личном анамнезе аллергия к другим антибиотикам,Z88
Z88.2,В личном анамнезе аллергия к сульфаниламидным препаратам,Z88
